treatment company,azimuth,md (ft),tvd (ft),date on production,operator,footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,gas production
treatment company 1,-32.279999,19148.0,6443.0,2018-03-01,operator 1,11966.0,4368.4629,6.33,12.0,1093.0,30123.2,0.68,0.02,0.34,0.85,5.0,0.42,13592.23,6950.44,30.82,4149.0,,83.0,56.0,21568792.0,1.23,5614.947950749999
treatment company 2,-19.799999,15150.0,7602.0,2014-07-01,operator 2,6890.0,4714.9922,1.28,4.0,0.0,30951.61,1.85,0.17,0.19,0.69,4.22,0.74,11735.04,7162.45,29.72,5776.0,,102.0,33.0,9841307.0,1.47,2188.836706575001
treatment company 3,-26.879998999999998,14950.0,5907.0,2018-08-01,operator 1,8793.0,798.9209599999999,2.03,6.0,3254.0,28900.25,0.29,0.02,0.33,,4.69,0.61,13227.81,6976.93,30.99,4628.0,,88.0,62.0,17116240.0,1.67,1450.0330217625
treatment company 4,-49.099998,11098.0,6538.0,2012-01-01,operator 1,4234.0,,6.0,23.0,7470.0,32826.08,0.73,0.03,0.2,,4.4,0.56,12646.34,6799.37,26.2,4582.0,,100.0,11.0,3749559.0,0.77,1060.764407
treatment company 5,5.5599999,10549.0,7024.0,2012-01-01,operator 3,2972.0,2967.563,11.87,9.0,3637.0,26740.05,0.47,0.02,0.33,0.8,4.66,0.58,13192.18,7046.91,31.18,4909.0,,94.0,9.0,6690705.0,1.32,607.5303845937499
treatment company 6,-36.990002000000004,13254.0,7956.0,2014-07-01,operator 4,4838.0,2108.2561,2.49,7.0,3099.0,30416.95,0.07,0.03,0.34,,4.74,0.85,12928.82,6914.76,30.94,,,97.0,21.0,6322010.0,0.85,1251.60614709375
treatment company 7,-36.669998,15212.0,7878.0,2016-02-01,operator 4,7025.0,747.4504400000001,2.89,6.0,6153.0,34904.61,0.35,,0.33,,4.78,0.73,12789.52,7103.51,31.64,5808.0,,89.0,45.0,15897798.0,1.09,2719.9673682
treatment company 8,0.17,12283.0,6399.0,2013-08-01,operator 4,5190.0,3230.9746,6.37,10.0,0.0,35143.87,0.47,0.02,0.33,,4.65,0.58,13177.63,7045.44,31.18,4214.0,,82.0,19.0,7720984.0,1.16,709.27096080625
treatment company 9,-32.98,16892.0,6822.0,2016-01-01,operator 5,9673.0,3658.4426,13.68,15.0,6578.0,35153.91,1.18,0.05,0.34,,3.92,1.77,12472.19,6518.9,29.82,5258.0,,70.0,48.0,11794115.0,0.93,3026.278862825
treatment company 10,-48.709998999999996,17134.0,7394.0,2013-07-01,operator 4,8996.0,1537.6284,6.7,11.0,0.0,28125.24,0.36,0.03,0.33,0.87,4.64,0.62,12951.0,7067.79,31.36,5694.0,,71.0,54.0,8373132.0,0.46,3445.93964701875
treatment company 11,-28.09,13155.0,7914.0,2012-07-01,operator 6,5049.0,3045.8044,13.39,8.0,4808.0,34279.87,1.4,0.08,0.22,,3.98,0.61,12070.16,6813.06,27.57,4828.0,9120.0,74.0,9.0,6001695.0,1.32,1664.3550620375
treatment company 3,-27.33,17888.0,7437.0,2015-03-01,operator 5,9864.0,4047.5227,3.09,12.0,635.0,27153.3,1.29,,0.34,,4.28,1.79,12208.36,6421.66,29.61,5213.0,5554.0,64.0,49.0,11430950.0,0.87,2633.70940771875
treatment company 9,-44.549999,11904.0,7059.0,2011-01-01,operator 7,4450.0,740.15375,7.47,15.0,0.0,34735.75,0.29,0.02,0.34,,4.68,0.63,13203.24,6983.49,31.02,4416.0,,89.0,13.0,6351477.0,1.3,422.33834611
treatment company 5,-48.43,15830.0,7528.0,2014-07-01,operator 8,8180.0,751.70386,331.96,1.0,6693.0,32451.85,0.36,0.02,0.33,0.84,4.71,0.59,13266.77,6986.73,31.01,,,84.0,55.0,10834362.0,0.9,2619.113527675
treatment company 4,-47.490002000000004,16599.0,6146.0,2017-04-01,operator 7,9922.0,3431.4177,5.35,14.0,0.0,35042.97,0.35,0.02,0.33,0.86,4.65,0.6,13164.73,7033.62,31.16,4219.0,,95.0,52.0,14069535.0,1.23,1305.4056854125
treatment company 5,-8.5600004,13266.0,7549.0,2011-07-01,operator 8,4923.0,,2.76,9.0,6187.0,33199.52,1.24,0.04,0.32,0.8,4.9,0.97,12591.02,7452.84,32.84,5639.0,,85.0,14.0,,0.37,1205.0910269375
treatment company 12,-36.779999,13993.0,8027.0,2014-07-01,operator 9,5329.0,,127.13,11.0,0.0,34786.71,0.89,0.04,0.27,,4.41,0.47,11603.53,7056.84,31.34,6035.0,10034.0,91.0,37.0,8473767.0,1.12,983.45779263125
treatment company 5,-24.879998999999998,11916.0,7516.0,2013-07-01,operator 8,3887.0,,307.69,1.0,1717.0,31044.9,0.43,0.02,0.33,,4.68,0.59,13213.38,7027.22,31.12,5391.0,,86.0,13.0,4544487.0,0.88,895.1185706875001
treatment company 9,-32.790001000000004,11850.0,8397.0,2013-08-01,operator 10,3089.0,735.71985,4.16,3.0,0.0,35192.75,0.7,0.03,0.25,,4.62,0.57,11809.23,7070.36,30.93,6180.0,8950.0,82.0,11.0,3187844.0,0.96,1373.773734375
treatment company 10,-21.209999,11525.0,6603.0,2013-01-01,operator 11,3874.0,,16.84,7.0,5066.0,31990.58,0.47,0.02,0.34,,4.66,0.58,13184.96,7049.93,31.19,4210.0,,69.0,18.0,8736369.0,1.25,667.0924295499998
treatment company 9,-41.639998999999996,15315.0,8281.0,2018-01-01,operator 12,6527.0,3065.821,5.28,6.0,5284.0,34782.28,0.85,0.07,0.34,,4.6,0.6,12748.61,6632.68,29.9,5903.0,,80.0,37.0,14687519.0,1.26,1934.3849623062495
treatment company 1,-48.049999,10333.0,6535.0,2013-08-01,operator 13,3478.0,1833.5397,7.44,13.0,0.0,34849.93,0.6,0.01,0.33,,5.05,0.33,13660.52,6925.65,30.75,4471.0,6510.0,80.0,12.0,4935397.0,1.08,557.6717415875
treatment company 12,-31.860001,14546.0,8500.0,2013-07-01,operator 9,5697.0,777.98065,1.54,14.0,0.0,35063.55,1.0,,0.29,,4.4,0.71,11866.83,7088.92,31.96,6368.0,9730.0,91.0,20.0,7595229.0,1.14,1231.09384101875
treatment company 1,-36.959998999999996,22485.0,7219.0,2018-09-01,operator 11,14653.0,,11.72,9.0,0.0,29782.73,0.65,0.04,0.33,,4.62,0.37,12884.45,7160.45,31.58,,6407.0,70.0,73.0,21968912.0,0.89,2443.0483410212
treatment company 2,-44.509997999999996,14492.0,6334.0,2016-03-01,operator 7,7962.0,1973.0684,17.58,21.0,12400.0,35351.96,0.26,0.02,0.33,0.8,4.58,0.57,13273.95,6900.74,30.76,4117.0,,96.0,42.0,12369768.0,1.21,1190.8841350999999
treatment company 1,-22.58,19834.0,6526.0,2018-12-01,operator 5,13058.0,,5.38,8.0,7716.0,29441.48,0.62,0.01,0.34,0.87,4.91,0.44,13478.62,6953.4,30.86,3616.0,5766.0,75.0,65.0,23284648.0,1.12,3187.1907547625
treatment company 10,-40.119999,14870.0,7820.0,2017-08-01,operator 4,6800.0,,75.54,1.0,0.0,34590.42,0.21,0.03,0.34,0.86,4.43,0.53,13369.16,6844.17,30.58,5233.0,9356.0,100.0,35.0,15323834.0,1.47,3824.778590643749
treatment company 5,-2.3299999,17658.0,7631.0,2014-01-01,operator 8,9024.0,820.06085,10.76,9.0,2649.0,34667.33,1.23,0.04,0.32,0.82,4.8,0.95,12583.18,7456.22,32.85,5844.0,,88.0,63.0,15461369.0,0.94,1669.3530943374994
treatment company 5,-55.189999,18941.0,6099.0,2018-06-01,operator 11,12276.0,,21.1,14.0,0.0,34777.93,0.47,0.02,0.33,,4.68,0.59,13214.46,7040.7,31.16,4598.0,6212.0,69.0,59.0,17719706.0,1.1,2913.2527434125
treatment company 7,-4.670000099999999,13080.0,8941.0,2013-07-01,operator 11,3545.0,,2.96,18.0,10154.0,34804.16,0.18,0.02,0.26,,4.62,0.74,11849.77,7096.77,31.24,6678.0,,69.0,10.0,2977836.0,2.01,925.744156175
treatment company 11,,15760.0,8158.0,2014-07-01,operator 6,7221.0,4116.0757,289.05,1.0,3416.0,34470.52,1.28,0.07,0.22,,4.03,0.66,11993.24,6807.19,27.44,4746.0,8796.0,86.0,10.0,8533084.0,1.14,3079.7506288375
treatment company 6,,10650.0,7400.0,2014-08-01,operator 14,2777.0,2465.4636,3.07,24.0,10763.0,33220.05,0.1,0.02,0.23,,4.22,0.59,11283.8,6790.58,27.85,5716.0,,80.0,22.0,,1.07,2171.182609587501
